binomial,genus,epithet,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Rhododendron lapponicum,Rhododendron,lapponicum,Ericaceae,Ericales,Angiosperms,2,1,1,1,0.51,0.51,0.49,0.44
Rhododendron latoucheae,Rhododendron,latoucheae,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.52,0.52,0.49,0.5
Rhododendron stenopetalum,Rhododendron,stenopetalum,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.54,0.54,0.51,0.49
Rhododendron makinoi,Rhododendron,makinoi,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.66,0.67,0.56,0.63
Rhododendron mayebarae,Rhododendron,mayebarae,Ericaceae,Ericales,Angiosperms,4,1,1,1,0.61,0.61,0.54,0.57
Rhododendron molle,Rhododendron,molle,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.52,0.52,0.49,0.46
Rhododendron nipponicum,Rhododendron,nipponicum,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.57,0.58,0.52,0.53
Rhododendron nudipes,Rhododendron,nudipes,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.57,0.58,0.52,0.53
Rhododendron osuzuyamense,Rhododendron,osuzuyamense,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.63,0.64,0.55,0.6
Rhododendron pentaphyllum,Rhododendron,pentaphyllum,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.69,0.69,0.57,0.66
Rhododendron quinquefolium,Rhododendron,quinquefolium,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.54,0.55,0.51,0.49
Rhododendron reticulatum,Rhododendron,reticulatum,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.6,0.6,0.53,0.55
Rhododendron ripense,Rhododendron,ripense,Ericaceae,Ericales,Angiosperms,3,1,1,1,0.54,0.54,0.51,0.49
Rhododendron sanctum,Rhododendron,sanctum,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.65,0.65,0.55,0.61
Rhododendron simsii,Rhododendron,simsii,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.52,0.52,0.49,0.46
Rhododendron tosaense,Rhododendron,tosaense,Ericaceae,Ericales,Angiosperms,3,1,1,1,0.6,0.6,0.53,0.56
Rhododendron uwaense,Rhododendron,uwaense,Ericaceae,Ericales,Angiosperms,3,1,1,1,0.69,0.69,0.57,0.68
Rhododendron weyrichii,Rhododendron,weyrichii,Ericaceae,Ericales,Angiosperms,8,1,1,1,0.61,0.61,0.54,0.57
Rhododendron yakuinsulare,Rhododendron,yakuinsulare,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.53,0.53,0.5,0.47
Rhododendron yakushimanum,Rhododendron,yakushimanum,Ericaceae,Ericales,Angiosperms,3,1,1,1,0.59,0.59,0.53,0.55
Rhodotypos scandens,Rhodotypos,scandens,Rosaceae,Rosales,Angiosperms,1,1,1,1,0.69,0.69,0.64,0.65
Ribes fasciculatum,Ribes,fasciculatum,Grossulariaceae,Saxifragales,Angiosperms,3,1,1,1,0.68,0.68,0.63,0.64
Ribes japonicum,Ribes,japonicum,Grossulariaceae,Saxifragales,Angiosperms,3,1,1,1,0.45,0.45,0.53,0.34
Ribes latifolium,Ribes,latifolium,Grossulariaceae,Saxifragales,Angiosperms,5,1,1,1,0.63,0.64,0.61,0.58
Ribes maximowiczianum,Ribes,maximowiczianum,Grossulariaceae,Saxifragales,Angiosperms,5,1,1,1,0.71,0.71,0.65,0.67
Ribes sachalinense,Ribes,sachalinense,Grossulariaceae,Saxifragales,Angiosperms,5,1,1,1,0.71,0.71,0.65,0.67
Ribes sinanense,Ribes,sinanense,Grossulariaceae,Saxifragales,Angiosperms,5,1,1,1,0.7,0.7,0.64,0.66
Rosa acicularis,Rosa,acicularis,Rosaceae,Rosales,Angiosperms,4,1,1,1,0.48,0.48,0.51,0.41
Rosa bracteata,Rosa,bracteata,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.58,0.58,0.55,0.53
Rosa fujisanensis,Rosa,fujisanensis,Rosaceae,Rosales,Angiosperms,3,1,1,1,0.59,0.59,0.56,0.55
Rosa hirtula,Rosa,hirtula,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.7,0.71,0.61,0.68
Rosa luciae,Rosa,luciae,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.43,0.44,0.49,0.36
Rosa nipponensis,Rosa,nipponensis,Rosaceae,Rosales,Angiosperms,3,1,1,1,0.54,0.55,0.54,0.49
Rosa onoei,Rosa,onoei,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.36,0.36,0.45,0.28
Rosa paniculigera,Rosa,paniculigera,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.49,0.5,0.51,0.44
Rosa rugosa,Rosa,rugosa,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.48,0.48,0.51,0.42
Rosa sambucina,Rosa,sambucina,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.52,0.53,0.53,0.47
Rubus grayanus,Rubus,grayanus,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.33,0.33,0.4,0.27
Rubus idaeus,Rubus,idaeus,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.35,0.36,0.41,0.3
Rubus mesogaeus,Rubus,mesogaeus,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.35,0.35,0.4,0.29
Rubus microphyllus,Rubus,microphyllus,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.33,0.33,0.4,0.27
Rubus nesiotes,Rubus,nesiotes,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.38,0.38,0.42,0.33
Rubus okinawensis,Rubus,okinawensis,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.38,0.38,0.42,0.32
Rubus palmatus,Rubus,palmatus,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.35,0.35,0.41,0.29
Rubus pectinellus,Rubus,pectinellus,Rosaceae,Rosales,Angiosperms,2,1,1,1,0.28,0.28,0.37,0.17
Rubus sieboldii,Rubus,sieboldii,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.4,0.4,0.43,0.35
Rubus swinhoei,Rubus,swinhoei,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.37,0.37,0.41,0.32
Rubus trifidus,Rubus,trifidus,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.38,0.38,0.42,0.33
Saldinia oblongifolia,Saldinia,oblongifolia,Rubiaceae,Gentianales,Angiosperms,1,1,1,1,0.47,0.47,0.51,0.3
Salix futura,Salix,futura,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.49,0.5,0.49,0.45
Salix gracilistyla,Salix,gracilistyla,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.48,0.49,0.49,0.44
Salix hukaoana,Salix,hukaoana,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.47,0.47,0.48,0.42
Salix integra,Salix,integra,Salicaceae,Malpighiales,Angiosperms,4,1,1,1,0.52,0.53,0.51,0.49
Salix japonica,Salix,japonica,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.59,0.6,0.54,0.57
Salix miyabeana,Salix,miyabeana,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.49,0.5,0.49,0.45
Salix nipponica,Salix,nipponica,Salicaceae,Malpighiales,Angiosperms,6,1,1,1,0.42,0.42,0.46,0.36
Salix reinii,Salix,reinii,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.51,0.51,0.5,0.47
Salix rorida,Salix,rorida,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.47,0.47,0.48,0.42
Salix sieboldiana,Salix,sieboldiana,Salicaceae,Malpighiales,Angiosperms,3,1,1,1,0.48,0.49,0.49,0.44
Salix taraikensis,Salix,taraikensis,Salicaceae,Malpighiales,Angiosperms,3,1,1,1,0.46,0.46,0.48,0.41
Salix vulpina,Salix,vulpina,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.49,0.49,0.49,0.45
Sarcandra glabra,Sarcandra,glabra,Chloranthaceae,Chloranthales,Angiosperms,5,1,1,1,0.26,0.26,0.36,0.24
Schismatoclada purpurea,Schismatoclada,purpurea,Rubiaceae,Gentianales,Angiosperms,1,1,1,1,0.57,0.57,0.55,0.48
Scolopia oldhamii,Scolopia,oldhamii,Salicaceae,Malpighiales,Angiosperms,5,1,1,1,0.73,0.74,0.67,0.68
Adina racemosa,Adina,racemosa,Rubiaceae,Gentianales,Angiosperms,5,1,1,1,0.62,0.62,0.59,0.57
Skimmia japonica,Skimmia,japonica,Rutaceae,Sapindales,Angiosperms,5,1,1,1,0.57,0.58,0.57,0.52
Sophora tomentosa,Sophora,tomentosa,Fabaceae,Fabales,Angiosperms,5,1,1,1,0.58,0.58,0.62,0.5
Sorbaria sorbifolia,Sorbaria,sorbifolia,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.49,0.49,0.52,0.43
Sorbus gracilis,Sorbus,gracilis,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.72,0.73,0.64,0.69
Sorbus matsumurana,Sorbus,matsumurana,Rosaceae,Rosales,Angiosperms,4,1,1,1,0.65,0.65,0.61,0.61
Sorbus sambucifolia,Sorbus,sambucifolia,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.63,0.63,0.6,0.59
Spiraea betulifolia,Spiraea,betulifolia,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.58,0.58,0.59,0.51
Spiraea chamaedryfolia,Spiraea,chamaedryfolia,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.59,0.59,0.6,0.52
Spiraea dasyantha,Spiraea,dasyantha,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.77,0.77,0.68,0.73
Spiraea japonica,Spiraea,japonica,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.68,0.68,0.64,0.62
Spiraea media,Spiraea,media,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.8,0.8,0.69,0.77
Spiraea miyabei,Spiraea,miyabei,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.65,0.65,0.63,0.59
Spiraea nipponica,Spiraea,nipponica,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.78,0.78,0.68,0.75
Spiraea salicifolia,Spiraea,salicifolia,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.64,0.64,0.62,0.58
Spiraea thunbergii,Spiraea,thunbergii,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.77,0.78,0.68,0.74
Neillia tanakae,Neillia,tanakae,Rosaceae,Rosales,Angiosperms,5,1,1,1,0.5,0.5,0.53,0.44
Stephanodaphne schatzii,Stephanodaphne,schatzii,Thymelaeaceae,Malvales,Angiosperms,1,1,1,1,0.44,0.44,0.48,0.27
Sterculia tavia,Sterculia,tavia,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.44,0.44,0.49,0.34
Stewartia serrata,Stewartia,serrata,Theaceae,Ericales,Angiosperms,4,1,1,1,0.57,0.57,0.56,0.51
Styrax shiraianus,Styrax,shiraianus,Styracaceae,Ericales,Angiosperms,5,1,1,1,0.49,0.5,0.49,0.45
Symplocos liukiuensis,Symplocos,liukiuensis,Symplocaceae,Ericales,Angiosperms,4,1,1,1,0.59,0.59,0.52,0.59
Symplocos sonoharae,Symplocos,sonoharae,Symplocaceae,Ericales,Angiosperms,5,1,1,1,0.6,0.61,0.53,0.57
Symplocos tanakae,Symplocos,tanakae,Symplocaceae,Ericales,Angiosperms,1,1,1,1,0.57,0.58,0.51,0.57
Syzygium aurantiacum,Syzygium,aurantiacum,Myrtaceae,Myrtales,Angiosperms,1,1,1,1,0.61,0.61,0.6,0.45
Syzygium buxifolium,Syzygium,buxifolium,Myrtaceae,Myrtales,Angiosperms,5,1,1,1,0.71,0.71,0.65,0.7
Syzygium loiseleurioides,Syzygium,loiseleurioides,Myrtaceae,Myrtales,Angiosperms,1,1,1,1,0.67,0.67,0.63,0.57
Syzygium oliganthum,Syzygium,oliganthum,Myrtaceae,Myrtales,Angiosperms,1,1,1,1,0.7,0.71,0.64,0.63
Tambourissa purpurea,Tambourissa,purpurea,Monimiaceae,Laurales,Angiosperms,1,1,1,1,0.58,0.58,0.54,0.54
Tambourissa rakotozafyi,Tambourissa,rakotozafyi,Monimiaceae,Laurales,Angiosperms,1,1,1,1,0.48,0.48,0.49,0.34
Tambourissa uapacifolia,Tambourissa,uapacifolia,Monimiaceae,Laurales,Angiosperms,1,1,1,1,0.45,0.44,0.47,0.28
Tarenna gracilipes,Tarenna,gracilipes,Rubiaceae,Gentianales,Angiosperms,5,1,1,1,0.6,0.6,0.59,0.59
Thilachium sumangui,Thilachium,sumangui,Capparaceae,Brassicales,Angiosperms,1,1,1,1,0.58,0.58,0.56,0.47
Tilia kiusiana,Tilia,kiusiana,Malvaceae,Malvales,Angiosperms,5,1,1,1,0.39,0.4,0.39,0.34
Trachycarpus fortunei,Trachycarpus,fortunei,Arecaceae,Arecales,Angiosperms,3,1,1,1,0.29,0.29,0.39,0.21
Trema cannabina,Trema,cannabina,Cannabaceae,Rosales,Angiosperms,1,1,1,1,0.36,0.36,0.39,0.29
Staphylea ternata,Staphylea,ternata,Staphyleaceae,Crossosomatales,Angiosperms,5,1,1,1,0.38,0.38,0.44,0.35
Uraria crinita,Uraria,crinita,Fabaceae,Fabales,Angiosperms,5,1,1,1,0.37,0.37,0.45,0.3
Urena sinuata,Urena,sinuata,Malvaceae,Malvales,Angiosperms,5,1,1,1,0.44,0.44,0.46,0.39
Vaccinium hirtum,Vaccinium,hirtum,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.66,0.66,0.62,0.62
Vaccinium japonicum,Vaccinium,japonicum,Ericaceae,Ericales,Angiosperms,3,1,1,1,0.65,0.65,0.61,0.61
Vaccinium oldhamii,Vaccinium,oldhamii,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.62,0.62,0.6,0.57
Vaccinium ovalifolium,Vaccinium,ovalifolium,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.61,0.61,0.59,0.55
Vaccinium smallii,Vaccinium,smallii,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.66,0.66,0.61,0.61
Vaccinium uliginosum,Vaccinium,uliginosum,Ericaceae,Ericales,Angiosperms,3,1,1,1,0.54,0.54,0.56,0.47
Vaccinium wrightii,Vaccinium,wrightii,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.62,0.62,0.59,0.6
Vaccinium yakushimense,Vaccinium,yakushimense,Ericaceae,Ericales,Angiosperms,5,1,1,1,0.66,0.66,0.61,0.61
Vepris dicarpella,Vepris,dicarpella,Rutaceae,Sapindales,Angiosperms,1,1,1,1,0.63,0.63,0.65,0.49
Vernonia pachyclada,Vernonia,pachyclada,Asteraceae,Asterales,Angiosperms,1,1,1,1,0.48,0.48,0.5,0.36
Viburnum carlesii,Viburnum,carlesii,Viburnaceae,Dipsacales,Angiosperms,4,1,1,1,0.74,0.74,0.63,0.72
Viburnum suspensum,Viburnum,suspensum,Viburnaceae,Dipsacales,Angiosperms,5,1,1,1,0.68,0.69,0.6,0.64
Viburnum tashiroi,Viburnum,tashiroi,Viburnaceae,Dipsacales,Angiosperms,4,1,1,1,0.69,0.69,0.61,0.65
Viburnum urceolatum,Viburnum,urceolatum,Viburnaceae,Dipsacales,Angiosperms,5,1,1,1,0.64,0.64,0.59,0.59
Vitex cauliflora,Vitex,cauliflora,Lamiaceae,Lamiales,Angiosperms,1,1,1,1,0.79,0.8,0.66,0.88
Vitex trifolia,Vitex,trifolia,Lamiaceae,Lamiales,Angiosperms,11,1,1,1,0.57,0.58,0.56,0.52
Volkameria inermis,Volkameria,inermis,Lamiaceae,Lamiales,Angiosperms,5,1,1,1,0.39,0.39,0.45,0.32
Weigela coraeensis,Weigela,coraeensis,Caprifoliaceae,Dipsacales,Angiosperms,5,1,1,1,0.38,0.39,0.46,0.31
Weigela floribunda,Weigela,floribunda,Caprifoliaceae,Dipsacales,Angiosperms,5,1,1,1,0.52,0.52,0.52,0.47
Weigela hortensis,Weigela,hortensis,Caprifoliaceae,Dipsacales,Angiosperms,5,1,1,1,0.54,0.55,0.53,0.5
Weigela japonica,Weigela,japonica,Caprifoliaceae,Dipsacales,Angiosperms,5,1,1,1,0.47,0.47,0.5,0.41
Wendlandia formosana,Wendlandia,formosana,Rubiaceae,Gentianales,Angiosperms,5,1,1,1,0.54,0.54,0.55,0.52
Wielandia tanalorum,Wielandia,tanalorum,Phyllanthaceae,Malpighiales,Angiosperms,1,1,1,1,0.68,0.68,0.63,0.54
Wikstroemia retusa,Wikstroemia,retusa,Thymelaeaceae,Malvales,Angiosperms,5,1,1,1,0.47,0.47,0.49,0.41
Zanthoxylum amamiense,Zanthoxylum,amamiense,Rutaceae,Sapindales,Angiosperms,3,1,1,1,0.55,0.55,0.54,0.48
Zanthoxylum armatum,Zanthoxylum,armatum,Rutaceae,Sapindales,Angiosperms,3,1,1,1,0.56,0.56,0.54,0.49
Zanthoxylum beecheyanum,Zanthoxylum,beecheyanum,Rutaceae,Sapindales,Angiosperms,3,1,1,1,0.6,0.61,0.56,0.56
Zanthoxylum schinifolium,Zanthoxylum,schinifolium,Rutaceae,Sapindales,Angiosperms,3,1,1,1,0.57,0.57,0.55,0.51
Zanthoxylum yakumontanum,Zanthoxylum,yakumontanum,Rutaceae,Sapindales,Angiosperms,5,1,1,1,0.51,0.51,0.52,0.44
Acropogon dzumacensis,Acropogon,dzumacensis,Malvaceae,Malvales,Angiosperms,2,1,1,1,0.53,0.54,0.51,0.54
Nyssa biflora,Nyssa,biflora,Nyssaceae,Cornales,Angiosperms,284,2,1,14,0.5,0.5,0.51,0.47
Pinus cembroides,Pinus,cembroides,Pinaceae,Pinales,Gymnosperms,17,3,2,3,0.56,0.56,0.51,0.6
Quercus hypoleucoides,Quercus,hypoleucoides,Fagaceae,Fagales,Angiosperms,15,1,1,1,0.62,0.63,0.64,0.66
Quercus pagoda,Quercus,pagoda,Fagaceae,Fagales,Angiosperms,36,1,1,3,0.65,0.65,0.65,0.62
Jupunba mataybifolia,Jupunba,mataybifolia,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.54,0.54,0.53,0.52
Aldina kunhardtiana,Aldina,kunhardtiana,Fabaceae,Fabales,Angiosperms,5,1,1,3,0.6,0.64,0.57,0.57
Alseis labatioides,Alseis,labatioides,Rubiaceae,Gentianales,Angiosperms,1,1,1,1,0.55,0.59,0.53,0.47
Ambelania occidentalis,Ambelania,occidentalis,Apocynaceae,Gentianales,Angiosperms,1,1,1,1,0.54,0.5,0.51,0.56
Andira macrothyrsa,Andira,macrothyrsa,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.67,0.68,0.64,0.71
Aniba taubertiana,Aniba,taubertiana,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.62,0.62,0.58,0.6
Anthodiscus klugii,Anthodiscus,klugii,Caryocaraceae,Malpighiales,Angiosperms,1,1,1,1,0.67,0.66,0.63,0.65
Bauhinia arborea,Bauhinia,arborea,Fabaceae,Fabales,Angiosperms,2,1,1,2,0.58,0.62,0.56,0.54
Caryodaphnopsis fosteri,Caryodaphnopsis,fosteri,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.6,0.61,0.58,0.56
Cassipourea peruviana,Cassipourea,peruviana,Rhizophoraceae,Malpighiales,Angiosperms,1,1,1,1,0.67,0.67,0.66,0.71
Chionanthus implicatus,Chionanthus,implicatus,Oleaceae,Lamiales,Angiosperms,1,1,1,1,0.63,0.69,0.61,0.58
Chlorocardium venenosum,Chlorocardium,venenosum,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.64,0.69,0.61,0.53
Clusia hammeliana,Clusia,hammeliana,Clusiaceae,Malpighiales,Angiosperms,2,1,1,1,0.69,0.63,0.66,0.69
Couepia williamsii,Couepia,williamsii,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.77,0.74,0.73,0.81
Crudia oblonga,Crudia,oblonga,Fabaceae,Fabales,Angiosperms,3,1,1,1,0.77,0.78,0.7,0.78
Cupania livida,Cupania,livida,Sapindaceae,Sapindales,Angiosperms,1,1,1,1,0.63,0.64,0.63,0.58
Cynometra bauhiniifolia,Cynometra,bauhiniifolia,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.7,0.75,0.66,0.69
Cynometra phaselocarpa,Cynometra,phaselocarpa,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.73,0.76,0.68,0.73
Dacryodes cupularis,Dacryodes,cupularis,Burseraceae,Sapindales,Angiosperms,1,1,1,1,0.54,0.56,0.54,0.51
Dendrobangia multinervia,Dendrobangia,multinervia,Cardiopteridaceae,Aquifoliales,Angiosperms,1,1,1,1,0.63,0.64,0.61,0.67
Drypetes gentryi,Drypetes,gentryi,Putranjivaceae,Malpighiales,Angiosperms,1,1,1,1,0.73,0.73,0.67,0.75
Drypetes medium,Drypetes,medium,Putranjivaceae,Malpighiales,Angiosperms,1,1,1,1,0.65,0.69,0.62,0.54
Duguetia echinophora,Duguetia,echinophora,Annonaceae,Magnoliales,Angiosperms,4,1,1,3,0.72,0.73,0.67,0.77
Duguetia stenantha,Duguetia,stenantha,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.62,0.65,0.58,0.61
Emmotum floribundum,Emmotum,floribundum,Icacinaceae,Icacinales,Angiosperms,1,1,1,1,0.66,0.68,0.63,0.72
Eperua leucantha,Eperua,leucantha,Fabaceae,Fabales,Angiosperms,5,1,1,2,0.62,0.68,0.57,0.56
Eperua purpurea,Eperua,purpurea,Fabaceae,Fabales,Angiosperms,2,1,1,1,0.63,0.68,0.58,0.56
Guatteria campestris,Guatteria,campestris,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.5,0.51,0.48,0.46
Haploclathra cordata,Haploclathra,cordata,Calophyllaceae,Malpighiales,Angiosperms,3,1,1,1,0.77,0.75,0.74,0.86
Hieronyma duquei,Hieronyma,duquei,Phyllanthaceae,Malpighiales,Angiosperms,1,1,1,1,0.51,0.55,0.51,0.44
Hymenaea reticulata,Hymenaea,reticulata,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.69,0.75,0.63,0.64
Inga umbratica,Inga,umbratica,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.67,0.64,0.63,0.77
Calliandra coriacea,Calliandra,coriacea,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.73,0.78,0.7,0.71
Inga microcalyx,Inga,microcalyx,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.64,0.62,0.61,0.68
Iryanthera polyneura,Iryanthera,polyneura,Myristicaceae,Magnoliales,Angiosperms,1,1,1,1,0.57,0.58,0.54,0.59
Jacaranda glabra,Jacaranda,glabra,Bignoniaceae,Lamiales,Angiosperms,1,1,1,1,0.49,0.47,0.52,0.52
Licania blackii,Licania,blackii,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.81,0.84,0.76,0.86
Leptobalanus gardneri,Leptobalanus,gardneri,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.63,0.66,0.62,0.55
Moquilea guianensis,Moquilea,guianensis,Chrysobalanaceae,Malpighiales,Angiosperms,2,1,1,1,0.66,0.66,0.63,0.62
Leptobalanus latus,Leptobalanus,latus,Chrysobalanaceae,Malpighiales,Angiosperms,2,1,1,2,0.75,0.72,0.71,0.73
Hymenopus latifolius,Hymenopus,latifolius,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.81,0.78,0.76,0.93
Hymenopus miltonii,Hymenopus,miltonii,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.72,0.73,0.69,0.63
Lonchocarpus spiciflorus,Lonchocarpus,spiciflorus,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.72,0.73,0.65,0.75
Lueheopsis hoehnei,Lueheopsis,hoehnei,Malvaceae,Malvales,Angiosperms,4,1,1,1,0.43,0.46,0.43,0.43
Machaerium robiniifolium,Machaerium,robiniifolium,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.73,0.64,0.7,0.83
Macrolobium microcalyx,Macrolobium,microcalyx,Fabaceae,Fabales,Angiosperms,3,1,1,2,0.64,0.64,0.62,0.74
Meliosma sumacensis,Meliosma,sumacensis,Sabiaceae,Proteales,Angiosperms,1,1,1,1,0.42,0.47,0.43,0.34
Metteniusa tessmanniana,Metteniusa,tessmanniana,Metteniusaceae,Metteniusales,Angiosperms,1,1,1,1,0.51,0.54,0.51,0.48
Miconia pyrifolia,Miconia,pyrifolia,Melastomataceae,Myrtales,Angiosperms,2,1,1,1,0.58,0.58,0.56,0.58
Miconia symplectocaulos,Miconia,symplectocaulos,Melastomataceae,Myrtales,Angiosperms,1,1,1,1,0.59,0.6,0.59,0.65
Micrandra sprucei,Micrandra,sprucei,Euphorbiaceae,Malpighiales,Angiosperms,4,1,1,1,0.63,0.62,0.59,0.59
Micropholis casiquiarensis,Micropholis,casiquiarensis,Sapotaceae,Ericales,Angiosperms,1,1,1,1,0.64,0.65,0.58,0.63
Micropholis maguirei,Micropholis,maguirei,Sapotaceae,Ericales,Angiosperms,3,1,1,1,0.55,0.6,0.52,0.48
Mouriri brachyanthera,Mouriri,brachyanthera,Melastomataceae,Myrtales,Angiosperms,1,1,1,1,0.76,0.81,0.72,0.73
Mucoa duckei,Mucoa,duckei,Apocynaceae,Gentianales,Angiosperms,1,1,1,1,0.54,0.51,0.51,0.61
Nectandra crassiloba,Nectandra,crassiloba,Lauraceae,Laurales,Angiosperms,2,1,1,2,0.52,0.52,0.52,0.51
Nectandra pulverulenta,Nectandra,pulverulenta,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.59,0.55,0.55,0.68
Nectandra rubrinervis,Nectandra,rubrinervis,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.59,0.55,0.56,0.69
Ocotea cujumary,Ocotea,cujumary,Lauraceae,Laurales,Angiosperms,2,1,1,2,0.61,0.56,0.59,0.66
Ocotea tabacifolia,Ocotea,tabacifolia,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.52,0.5,0.52,0.57
Onychopetalum periquino,Onychopetalum,periquino,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.48,0.5,0.47,0.39
Ormosia bopiensis,Ormosia,bopiensis,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.51,0.55,0.49,0.48
Paypayrola longifolia,Paypayrola,longifolia,Violaceae,Malpighiales,Angiosperms,1,1,1,1,0.54,0.52,0.51,0.5
Porcelia mediocris,Porcelia,mediocris,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.46,0.48,0.46,0.4
Pourouma cucura,Pourouma,cucura,Urticaceae,Rosales,Angiosperms,1,1,1,1,0.59,0.47,0.59,0.74
Pouteria gomphiifolia,Pouteria,gomphiifolia,Sapotaceae,Ericales,Angiosperms,3,1,1,1,0.62,0.67,0.59,0.63
Protium gallosum,Protium,gallosum,Burseraceae,Sapindales,Angiosperms,1,1,1,1,0.56,0.56,0.56,0.6
Protium pilosissimum,Protium,pilosissimum,Burseraceae,Sapindales,Angiosperms,1,1,1,1,0.6,0.57,0.56,0.64
Prunus detrita,Prunus,detrita,Rosaceae,Rosales,Angiosperms,1,1,1,1,0.61,0.61,0.6,0.65
Pseudolmedia murure,Pseudolmedia,murure,Moraceae,Rosales,Angiosperms,2,1,2,2,0.63,0.65,0.58,0.59
Pterocarpus vaupesiana,Pterocarpus,vaupesiana,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.64,0.64,0.64,0.65
Quararibea obliquifolia,Quararibea,obliquifolia,Malvaceae,Malvales,Angiosperms,2,1,1,1,0.42,0.45,0.41,0.34
