binomial,genus,epithet,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Acer truncatum,Acer,truncatum,Sapindaceae,Sapindales,Angiosperms,2,2,1,2,0.59,0.59,0.54,0.6
Actinodaphne henryi,Actinodaphne,henryi,Lauraceae,Laurales,Angiosperms,2,2,1,2,0.6,0.6,0.56,0.64
Adina trichotoma,Adina,trichotoma,Rubiaceae,Gentianales,Angiosperms,4,4,4,4,0.69,0.69,0.62,0.67
Aesculus chinensis,Aesculus,chinensis,Sapindaceae,Sapindales,Angiosperms,2,2,2,2,0.51,0.52,0.51,0.52
Magnolia cathcartii,Magnolia,cathcartii,Magnoliaceae,Magnoliales,Angiosperms,2,2,2,2,0.48,0.48,0.5,0.47
Alseodaphnopsis andersonii,Alseodaphnopsis,andersonii,Lauraceae,Laurales,Angiosperms,2,2,1,2,0.53,0.53,0.54,0.52
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales,Angiosperms,8,4,2,4,0.59,0.58,0.6,0.58
Bauhinia acuminata,Bauhinia,acuminata,Fabaceae,Fabales,Angiosperms,7,2,1,2,0.59,0.59,0.56,0.48
Burretiodendron esquirolii,Burretiodendron,esquirolii,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.77,0.77,0.69,0.7
Calophyllum ligustrinum,Calophyllum,ligustrinum,Calophyllaceae,Malpighiales,Angiosperms,1,1,1,1,0.64,0.65,0.63,0.7
Castanopsis kawakamii,Castanopsis,kawakamii,Fagaceae,Fagales,Angiosperms,2,2,2,2,0.62,0.63,0.6,0.63
Castanopsis mekongensis,Castanopsis,mekongensis,Fagaceae,Fagales,Angiosperms,1,1,1,1,0.71,0.71,0.64,0.79
Celtis bungeana,Celtis,bungeana,Cannabaceae,Rosales,Angiosperms,1,1,1,1,0.58,0.58,0.59,0.56
Cephalotaxus mannii,Cephalotaxus,mannii,Cephalotaxaceae,Cupressales,Gymnosperms,1,1,1,1,0.58,0.59,0.56,0.58
Cinnamomum burmanni,Cinnamomum,burmanni,Lauraceae,Laurales,Angiosperms,3,3,3,3,0.52,0.52,0.49,0.53
Cinnamomum mollifolium,Cinnamomum,mollifolium,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.48,0.48,0.48,0.44
Cinnamomum tenuipile,Cinnamomum,tenuipile,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.48,0.48,0.48,0.44
Cipadessa baccifera,Cipadessa,baccifera,Meliaceae,Sapindales,Angiosperms,3,3,2,3,0.64,0.66,0.58,0.63
Quercus schottkyana,Quercus,schottkyana,Fagaceae,Fagales,Angiosperms,1,1,1,1,0.78,0.79,0.71,0.82
Quercus ciliaris,Quercus,ciliaris,Fagaceae,Fagales,Angiosperms,1,1,1,1,0.72,0.72,0.68,0.7
Quercus kerrii,Quercus,kerrii,Fagaceae,Fagales,Angiosperms,1,1,1,1,0.73,0.73,0.69,0.76
Dalbergia ovata,Dalbergia,ovata,Fabaceae,Fabales,Angiosperms,3,3,3,3,0.7,0.7,0.61,0.69
Diospyros kerrii,Diospyros,kerrii,Ebenaceae,Ericales,Angiosperms,1,1,1,1,0.58,0.58,0.58,0.45
Dracontomelon macrocarpum,Dracontomelon,macrocarpum,Anacardiaceae,Sapindales,Angiosperms,1,1,1,1,0.56,0.56,0.55,0.54
Dysoxylum laxiracemosum,Dysoxylum,laxiracemosum,Meliaceae,Sapindales,Angiosperms,1,1,1,1,0.53,0.53,0.51,0.41
Eberhardtia aurata,Eberhardtia,aurata,Sapotaceae,Ericales,Angiosperms,1,1,1,1,0.48,0.48,0.51,0.4
Eberhardtia tonkinensis,Eberhardtia,tonkinensis,Sapotaceae,Ericales,Angiosperms,1,1,1,1,0.49,0.49,0.51,0.41
Elaeocarpus braceanus,Elaeocarpus,braceanus,Elaeocarpaceae,Oxalidales,Angiosperms,2,2,2,2,0.57,0.57,0.57,0.6
Eriolaena kwangsiensis,Eriolaena,kwangsiensis,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.68,0.68,0.61,0.69
Erythropsis ata,Erythropsis,ata,unknown_12,"","",1,1,1,1,0.4,0.4,0.45,0.33
Eucalyptus leichow,Eucalyptus,leichow,Myrtaceae,Myrtales,Angiosperms,1,1,1,1,0.69,0.69,0.63,0.59
Eucalyptus studleyensis,Eucalyptus,studleyensis,Myrtaceae,Myrtales,Angiosperms,1,1,1,1,0.64,0.64,0.61,0.55
Tetradium ruticarpum,Tetradium,ruticarpum,Rutaceae,Sapindales,Angiosperms,2,2,2,2,0.43,0.44,0.47,0.42
